Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Pune,Member,Female,Health and beauty,6199.2699999999995,7,2169.7445000000002,45564.6345,01-05-2019,1:08:00 PM,Ewallet,43394.89000000001,4.761904762,2169.7445000000002,9.1
226-31-3081,Giza,Amravati,Normal,Female,Electronic accessories,1268.24,5,317.06,6658.26,03-08-2019,10:29:00 AM,Cash,6341.200000000001,4.761904762,317.06,9.6
631-41-3108,Alex,Pune,Normal,Female,Home and lifestyle,3845.39,7,1345.8864999999998,28263.6165,03-03-2019,1:23:00 PM,Credit card,26917.73,4.761904762,1345.8864999999998,7.4
123-19-1176,Alex,Pune,Member,Female,Health and beauty,4832.26,8,1932.904,40590.984,1/27/2019,8:33:00 PM,Ewallet,38658.08,4.761904762,1932.904,8.4
373-73-7910,Alex,Pune,Member,Female,Sports and travel,7163.7300000000005,7,2507.3055,52653.4155,02-08-2019,10:37:00 AM,Ewallet,50146.10999999999,4.761904762,2507.3055,5.3
699-14-3026,Giza,Amravati,Member,Female,Electronic accessories,7087.37,7,2480.5795000000003,52092.169499999996,3/25/2019,6:30:00 PM,Ewallet,49611.590000000004,4.761904762,2480.5795000000003,4.1
355-53-5943,Alex,Pune,Member,Female,Electronic accessories,5713.72,6,1714.116,35996.436,2/25/2019,2:36:00 PM,Ewallet,34282.32,4.761904762,1714.116,5.8
315-22-5665,Giza,Amravati,Member,Female,Home and lifestyle,6105.4800000000005,10,3052.7400000000002,64107.54,2/24/2019,11:38:00 AM,Ewallet,61054.8,4.761904762,3052.7400000000002,8.0
665-32-9167,Alex,Pune,Member,Female,Health and beauty,3009.58,2,300.95799999999997,6320.118,01-10-2019,5:15:00 PM,Credit card,6019.16,4.761904762,300.95799999999997,7.2
692-92-5582,Cairo,Nashik,Member,Female,Food and beverages,4551.72,3,682.758,14337.918000000001,2/20/2019,1:27:00 PM,Credit card,13655.160000000002,4.761904762,682.758,5.9
351-62-0822,Cairo,Nashik,Member,Female,Fashion accessories,1201.8400000000001,4,240.368,5047.728,02-06-2019,6:07:00 PM,Ewallet,4807.360000000001,4.761904762,240.368,4.5
529-56-3974,Cairo,Nashik,Member,Female,Electronic accessories,2117.33,4,423.466,8892.786,03-09-2019,5:03:00 PM,Cash,8469.32,4.761904762,423.466,6.8
365-64-0515,Alex,Pune,Member,Female,Electronic accessories,3896.8500000000004,5,974.2125000000001,20458.4625,02-12-2019,10:25:00 AM,Ewallet,19484.25,4.761904762,974.2125000000001,7.1
252-56-2699,Alex,Pune,Member,Female,Food and beverages,3584.77,10,1792.385,37640.085,02-07-2019,4:48:00 PM,Ewallet,35847.7,4.761904762,1792.385,8.2
829-34-3910,Alex,Pune,Member,Female,Health and beauty,5924.54,10,2962.27,62207.67,3/29/2019,7:21:00 PM,Cash,59245.399999999994,4.761904762,2962.27,5.7
299-46-1805,Cairo,Nashik,Member,Female,Sports and travel,7778.76,6,2333.628,49006.188,1/15/2019,4:19:00 PM,Cash,46672.560000000005,4.761904762,2333.628,4.5
656-95-9349,Alex,Pune,Member,Female,Health and beauty,5721.1900000000005,7,2002.4164999999998,42050.7465,03-11-2019,11:03:00 AM,Credit card,40048.33,4.761904762,2002.4164999999998,4.6
765-26-6951,Alex,Pune,Member,Female,Sports and travel,6026.63,6,1807.989,37967.769,01-01-2019,10:39:00 AM,Credit card,36159.78,4.761904762,1807.989,6.9
329-62-1586,Alex,Pune,Member,Female,Food and beverages,4537.610000000001,3,680.6415,14293.4715,1/21/2019,6:00:00 PM,Credit card,13612.83,4.761904762,680.6415,8.6
319-50-3348,Cairo,Nashik,Member,Female,Home and lifestyle,3344.8999999999996,2,334.49,7024.29,03-11-2019,3:30:00 PM,Ewallet,6689.799999999999,4.761904762,334.49,4.4
300-71-4605,Giza,Amravati,Member,Female,Electronic accessories,7141.320000000001,5,1785.3300000000002,37491.93,2/25/2019,11:24:00 AM,Ewallet,35706.6,4.761904762,1785.3300000000002,4.8
371-85-5789,Cairo,Nashik,Member,Female,Health and beauty,7302.34,3,1095.3509999999999,23002.371,03-05-2019,10:40:00 AM,Ewallet,21907.02,4.761904762,1095.3509999999999,5.1
273-16-6619,Cairo,Nashik,Member,Female,Home and lifestyle,2755.6000000000004,2,275.56,5786.76,3/15/2019,12:20:00 PM,Credit card,5511.200000000001,4.761904762,275.56,4.4
636-48-8204,Alex,Pune,Member,Female,Electronic accessories,2868.48,5,717.12,15059.52,2/17/2019,11:15:00 AM,Ewallet,14342.400000000001,4.761904762,717.12,9.9
549-59-1358,Alex,Pune,Member,Female,Sports and travel,7356.29,3,1103.4434999999999,23172.3135,03-02-2019,5:36:00 PM,Ewallet,22068.87,4.761904762,1103.4434999999999,6.0
227-03-5010,Alex,Pune,Member,Female,Home and lifestyle,4364.97,8,1745.988,36665.748,3/22/2019,7:20:00 PM,Credit card,34919.76,4.761904762,1745.988,8.5
649-29-6775,Cairo,Nashik,Member,Female,Fashion accessories,2782.1600000000003,1,139.108,2921.268,02-08-2019,3:31:00 PM,Cash,2782.1600000000003,4.761904762,139.108,6.7
189-17-4241,Alex,Pune,Member,Female,Fashion accessories,7276.610000000001,2,727.661,15280.881,03-10-2019,12:17:00 PM,Credit card,14553.220000000001,4.761904762,727.661,7.7
145-94-9061,Cairo,Nashik,Member,Female,Food and beverages,7333.88,5,1833.47,38502.869999999995,1/25/2019,7:48:00 PM,Cash,36669.4,4.761904762,1833.47,9.6
848-62-7243,Alex,Pune,Member,Female,Health and beauty,2065.87,9,929.6415,19522.4715,3/15/2019,3:36:00 PM,Cash,18592.829999999998,4.761904762,929.6415,7.4
871-79-8483,Cairo,Nashik,Member,Female,Fashion accessories,7812.79,5,1953.1975,41017.1475,2/25/2019,7:39:00 PM,Credit card,39063.95,4.761904762,1953.1975,4.8
149-71-6266,Cairo,Nashik,Member,Female,Sports and travel,6479.8099999999995,9,2915.9145000000003,61234.2045,1/28/2019,12:43:00 PM,Cash,58318.29,4.761904762,2915.9145000000003,4.5
640-49-2076,Cairo,Nashik,Member,Female,Sports and travel,6953.74,8,2781.496,58411.416,01-10-2019,2:49:00 PM,Cash,55629.92,4.761904762,2781.496,5.1
595-11-5460,Alex,Pune,Member,Female,Health and beauty,8016.139999999999,2,801.6139999999999,16833.894,3/15/2019,10:12:00 AM,Credit card,16032.279999999999,4.761904762,801.6139999999999,5.1
183-56-6882,Giza,Amravati,Member,Female,Food and beverages,8251.86,4,1650.372,34657.812000000005,02-06-2019,10:42:00 AM,Ewallet,33007.44,4.761904762,1650.372,7.5
232-16-2483,Giza,Amravati,Member,Female,Sports and travel,5653.96,1,282.69800000000004,5936.657999999999,01-07-2019,12:28:00 PM,Ewallet,5653.96,4.761904762,282.69800000000004,6.8
129-29-8530,Alex,Pune,Member,Female,Sports and travel,5197.46,5,1299.365,27286.665,03-10-2019,7:15:00 PM,Ewallet,25987.300000000003,4.761904762,1299.365,7.0
